Date,Location,AP,Description
"-1,293.00",Taldor,IS,Taldor founded.
-1003.00,Numeria,IG,"Armag, a barbarian warlord, terrorizes Southwest Numeria and nearby lands."
-892.00,Mana Wastes,IS,Nex and Geb go to war.
-632.00,Geb,IS,Geb committs ritual suicide. He returns as a ghost.
0.00,Absalom,IS,"Absalom founded. Aroden, the Last Azlanti, raises the Starstone from the depths of the Inner Sea and becomes a living god."
0499.00.00,Numeria,IG,Taldor's Second Army of Exploration explores Numeria but is pushed back by native hostility.
0576.01.01,Nex,IS,Nex vanishes during a Gebbite attack that kills thousands.
0896.01.01,Isle of Terror,IS,Aroden (god) slays Tar Baphon (living)
1288.00.00,Numeria,IG,Battle of Grasyhot begins. Queen Boliga Bharsolm clashes with 30 tribes of the hill giant chief Urgo Axbiter.
1291.00.00,Numeria,IG,Axbiter slain. Hill giants defeated. Queen Boliga killed.
1305.00.00,Numeria,IG,Aaramor construction begins to prevent giant population from reaching dangerous numbers again.
1521.00.00,Numeria,IG,Lord of Aaramor orders the demolition of cities stone bridges in favor of wood to deter giant attacks.
1540.00.00,Cheliax,HV,"Taldor's Third Army of exploration completes its conquest of Southern Avistan, including hte land that will become the nation of Cheliax."
1707.01.01,Andoran,IS,Andoran founded.
1893.01.01,Absalom,IS,Norgorber passes the test of the starstone and ascends to godhood.
2009.00.00,Numeria,IG,Taldor's 5th Army of Exploration expands nearby but ignores Numeria.
2632.01.01,Kyonin,IS,Elves return to Golarion.
2765.01.01,Absalom,IS,Cayden Cailean drunkenly passes the test of the Starstone and ascends to godhood.
3007.00.00,Cheliax,HV,Cheliax is founded as the Westernmost province of Taldor.
3007.01.01,Cheliax,IS,Cheliax Founded.
3203.00.00,Ustalav,CC,Tar Baphon is reborn as the lich called The Whispering Tyrant and conquers Ustalav.
3441.00.00,Numeria,IG,Battle of Falheart. Prince Rathorn and Sabline the Traitor charge in but their entire armies mysteriously die before battle begins.
3637.00.00,Absalom,IG,Karamoss creates the Red Redoubt and begins his siege of Absalom.
3732.00.00,Absalom,HV,Iomedae completes the Test of the Starstone and becomes a goddess and Aroden's Herald.
3754.00.00,Ustalav,CC,"The Empire of Taldor calls soldiers from all over their realm and marches against the Whispering Tyrant of Ustalav, in a war known as the Shining Crusade."
3800.00.00,Cheliax,HV,Iomedae is born in Cheliax.
3816.00.00,Ustalav,HV,Iomedae joins the Shining Crusade against the Whispering Tyrant Tar-Baphon
3823.01.01,Ustalav,IS,Whispering Tyrant Tar Baphon (lich now) kills Arazni
3826.00.00,Ustalav,HV,"The Whispering Tyrant breaks Iomedae's sword but she fuses the pieces together, forming Heart's Edge. Her 6th miracle."
3827.00.00,Ustalav,CC,The Whispering Tyrant is defeated by the Shining Crusade and imprisoned within Gallowspire.
3831.00.00,Kantaria,HV,"Iomedae completes her tenth act, ruling Kantaria for a year and a day. She gives Heart's Edge to House Narikopolus."
3832.01.01,Absalom,IS,Iomedae passes the Test of the Starstone
4081.00.00,Taldor,HV,"Taldan Governor Aspex creates the new nation of Cheliax from Andoran, Cheliax, Galt, and Isger."
4081.01.01,Cheliax,IS,Cheliax breaks from Taldor.
4111.00.00,Shackles,SS,Chelish explorers discover the ruins of Ghol-Gan in what will be called The Shackles.
4137.00.00,Cheliax,HV,Chelish Army and Navy repel Garund and win control of the Arch of Aroden. Cheliax controls the entrance to the Inner Sea.
4139.00.00,Shackles,SS,Raiders target trade ships ferrying goods between Cheliax and Sargava.
4221.00.00,Taldor,IG,"Taldor founds its westernmost colony, Cheliax"
4221.06.18,Numeria,IG,Casandalee rebels against Unity and flees. She is eventually killed but not before making a backup of her mind.
4222.04.26,Numeria,IG,Casandalee transfers her mind to the AI-Core and hides it in the Scar of the Spider.
4223.01.20,Numeria,IG,Casandalee is killed near in the spaceship wreck beneath Iadenveigh
4305.00.00,Cheliax,HV,Everwar begins. 
4308.00.00,Silver Mount,IG,"Gojan the Sharp, a pathfinder, travels to Numeria and requests permission to enter Silver Mount."
4318.00.00,Silver Mount,IG,Gojan enters Silver Mount.
4319.00.00,Absalom,IG,Gojan returns to Abaslom with his findings.
4320.00.00,Numeria,IG,Gojan returns to Numeria but disappears and is never heard from again.
4338.00.00,Cheliax,HV,Cheliax conquers Nidal.
4433.01.01,Sarkoris,IS,Aroden defeats avatar of demon lord Deskari
4455.00.00,Silver Mount,IG,Hellion leaves Silver Mount and rebels against Unity.
4458.01.00,Scrapwall,IG,Hellion arrives and settles in Scrapwall.
4498.00.00,Scrapwall,IG,Scrapwall is depleted of usable relics and skymetal.
4501.00.00,Numeria,IG,Sidrah Imeruss awakens and preaches against the Kellid taboo on tech. Founds the Technic League.
4509.00.00,Silver Mount,IG,Sidrah and the technic league reach Silver Mount. She is killed by her second in command.
4512.00.00,Silver Mount,IG,The Technic League enters Silver Mount for the first time.
4602.00.00,Black Hill Caves,IG,The violet light atop Black Hill first flares up.
4604.00.00,Torch,IG,Torch founded.
4606.00.00,Cheliax,HV,Aroden's death. Chelish Civil War begins.
4606.00.00,Cheliax,IG,Aroden's death. Chelish Civil War begins.
4606.00.00,Numeria,IG,Worldwound opens. Numeria is flooded with Crusaders passing through to the battlefront.
4606.01.00,Kintargo,HR,"Silver Ravens founded by Jackdaw, Amyreid, Ba, Kyda, and Brakisi."
4606.01.01,,IS,"Aroden dies. Eye of Abendego forms. Worldwound opens, destroying Sarkoris. "
4607.00.00,Kintargo,HR,Silver Ravens eject Thrune forces from the city.
4607.00.00,Crowhollow,IG,Weather patterns open a sinkhole at Crowhollow that exposes tech. Mountain Crow tribe hides this discovery from Technic League.
4608.00.00,Kintargo,HR,Kintargo attacked by Nidalise Vampires. Song of Silver is first heard in Kintargo and vampires are defeated.
4609.00.00,Kintargo,HR,"Kintaro attacked by Rivozair, a great Blue Dragon but the Silver Ravens force him to flee."
4611.01.01,Vieland,CC,"The growing Worldwound forces Sarkorians to flee South towards Ustalav. Princess Maraet Ordranti denies them sanctuary, leading to a slaughter called the Demonskin War"
4613.01.01,Vieland,CC,"The Butcher of Courtaud, legendary figure of the Demonskin War, is caught and executed. He vows to continue to protect his family and Ustalav."
4623.00.00,Mendev,HV,Seldinin Chonaz Hellknight of the Pyre founds the HK Order of the Godclaw.
4628.00.00,Crowhollow,IG,Technic League arrives at Crowhollow but their initial group is never seen again. Entire Mountain Crow tribe vanishes.
4629.00.00,Silver Mount,IG,"Crusaders build Castle Urion as a gift to the Barbarian's Black Sovereign, occupied by Iomedaean crusaders."
4639.00.00,Cheliax,HV,"House Thrune defeats House Davian in the Battle of a Hundred Kings, the decisive conflict in the Chelish Civil War."
4640.00.00,Shackles,SS,"Sargava secedes from Cheliax, Baron Grallus pays the Free Captains for protection from Thrune."
4640.01.20,Barrowood,HV,Abrogail I forms a pack with Asmodeus. The armies of Hell enter Cheliax under her command.
4640.01.29,Cheliax,HV,"Thrune siezes control of Cheliax, attempts to end the Chelish Civil War."
4640.04.00,Kintargo,HR,Infernal Army descends upon Kintargo.   
4640.05.00,Kintargo,HR,Kyda and Amyreid killed by the pit fiend named Oughorthan. Jackdaw surrenders.
4640.06.00,Kintargo,HR,Brakisi kills Ba. Thrunes control Kintargo. Silver Ravens disbanded and redacted. 
4640.09.00,Egorian,HV,House Thrune emerges victorious. Asmodeus becomes official state religion. Capital moved to Egorian.
4643.00.00,Shackles,SS,Thrune fleet arrives in Shackles and is quickly sunk.
4649.00.00,Kintargo,HR,"Meyib Tanessen, Changling priestess of Asmodeus crafts the infernal engines in the Temple of Asmodeus."
4649.00.00,Iadenveigh,IG,Iadenveigh founded by exiles from Molthune.
4650.00.00,Iadenveigh,IG,Citizens discover their town has been infiltrated by duplicates. Ranger Barton Cabers dies fighting them.
4665.00.00,Isger,HV,The Order of the Godclaw withdraws from Mendev and begins construction of Citadel Dinyar.
4674.00.00,Shackles,SS,Pirates of the Shackles unite under Hurrcane King Kerdak Bonefist.
4674.01.01,Caliphas,CC,The capital is moved from Ardis to Caliphas. Prince Valislav Ordranti dies of an unnamed illness soon after.
4675.01.01,Caliphas,CC,"Prince Aduard III ascends the throne. Mircalla Caliphvaso, long time consort gives birth to his son Reneis, who is adopted by Countess Carmilla Laiphvaso."
4677.00.00,Shackles,SS,"First Captain's Regatta. 6 of the 17 ships that enter are scuttled, capsized, or lost at sea."
4681.00.00,Shackles,SS,The Glorious Age of the Free Captains begins.
4688.00.00,Numeria,IG,"Kevoth-Kul unites the Numeria tribes and takes Starfall, allies with Technic League, and becomes Black Sovereign."
4689.05.25,Kintargo,HR,"Lord Ellis Mayheart passes away at the age of 83, leaving his sword to his eldest son, Carliss."
4690.00.00,Starfall,IG,"Kevoth-Kul makes Starfall his capital, allies with Technic League,a nd becomes the last Black Sovereign."
4701.04.22,Chastel,CC,"The Chastel Massacre. The Devil in Gray rampages through Chastel, killing 19 before disappearing."
4703.00.00,Choking Tower,IG,Furkas Xoud is exiled from the Technic League for his religion and builds the Choking Tower.
4704.00.00,Starfall,IG,Black Sovereign Kevoth-Kul burns down the pathfinder lodge. Pathfinders establish secret lodges.
4707.00.00,Numeria,IG,Furkas Xoud steals Casandalee's body and speaks with it briefly. He is killed by her defenses.
4707.01.16,Caliphas,JG,A mercenary group is formed around the search for a collection of stolen nude-paintings of Lady Caliphaso. The group is called the Justice Gorls.
4707.01.16,Caliphas,JG,"Professor Valeska Martin goes missing at Site 17, a Shining Crusade Era tomb."
4707.01.17,Caliphas,JG,The Clickboom gang of Caliphas is annihilated to a man by the Justice Gorls.
4707.01.18,Caliphas,JG,Professor Martin is found to be a prisoner of the Skanktown Killas gang outside the city. Skanktown leader is killed and Agu is the new Queen of Skanktown.
4709.00.00,Felldales,IG,Annihilator robot destroys many towns before retreating into the Felldales with prisoners.
4711.00.00,Starfall,IG,"Technic League gains powerful new leader, Ozmyn Zaidow who strengthens the organization."
4716.05.19,Black Hill Caves,IG,Skulks arrive in Black Hill Caves and force open the habitat doors.
4716.06.18,Torch,IG,Meyanda arrives in Torch and enters Black Hill Caves at night. She makes a deal with the Skulks to guard the caves.
4716.06.30,Torch,IG,Meyanda contacts Garmen Ulreth and secures a hiding place for the power relay in his warehouse.
4716.07.02,Black Hill Caves,IG,Meyanda shuts down the failsafe extinguishing the torch atop Black Hill. Khonnir discovers Meyanda's entering the pond.
4716.07.03,Isger,HV,Heart's Edge is recovered by the Godclaw in Isger and they bring it to Citadel Dinyar.
4716.07.03,Black Hill Caves,IG,First Expedition: halfling adventurers killed by giant vermin.
4716.07.04,Black Hill Caves,IG,Second Expedition: local thugs make it to the skulks but are slaughtered by them.
4716.07.05,Black Hill Caves,IG,Third Expedition: Khonnir Baine's group rob the skulks and enter the habitat. They return with a dormant repair drone.
4716.07.06,Black Hill Caves,IG,Fourth Expedition: Brigh Worshippers from out of town make it to the science deck before being slain.
4716.07.08,Black Hill Caves,IG,Fifth Expedition: Khonnir Baine's second attempt makes it to the habitat module but does not return.
4716.07.10,Torch,IG,Tokala and Maginnis team up with others to assist Torch
4716.07.13,Black Hill Caves,IG,Khonnir Baine rescued by the IG Party
4716.07.16,Torch,IG,Power Relay discovered and deactivated by the IG Party. Nomkath and Scaith join the IG Party.
4716.07.17,Torch,IG,Meyanda comes to Torch and is defeated. Dolga is killed by friendly fire (Gavrilo)
4716.07.24,Torch,IG,IG Party departs Torch to investigate Scrapwall at the request of Town Council.
4716.07.26,Aldronard's Grave,IG,"IG Party rescues several Saranrae paladins, recruits Ulfred, and frees Aldronard's Ghost."
4716.07.28,Scrapwall,IG,"IG Party arrives at Scrapwall, passes the main gate after meeting Sevroth and the Silverhawks."
4716.08.01,Scrapwall,IG,IG Party meets Dinvaya.
4716.08.05,Scrapwall,IG,"IG Party attacks Smilers, bypasses their outer patrols, and kills Birdfood on the dunes."
4716.08.08,Scrapwall,IG,"IG Party kills Marrow, frees Whiskifiss and befriends the Redtooth Raiders."
4716.08.12,Scrapwall,IG,IG Party travels across Southern Scrapwall and defeats the Manticore.
4716.08.21,Scrapwall,IG,IG Party defeats the wraiths in Southeastern Scrapwall. Eldrin Discovered.
4716.08.24,Isger,HV,"Paladin Alexeara Cansellarion founds a new Knightly Order, takes Citadel Dinyar, and begins the Glorious Reclamation."
4716.08.24,Scrapwall,IG,"IG Party assauts the Junk Mines, frees Olbryn, and retreats back South."
4716.08.26,Scrapwall,IG,IG Party visits Redtooth warren but finds it destroyed by Lords of Rust.
4716.08.29,Scrapwall,IG,"IG Party assaults Scrapwall Arena, kills Helskarg, frees Cuha."
4716.08.30,Scrapwall,IG,IG Party defeats Nalakai and the Cult of Hellion.
4716.09.01,Scrapwall,IG,IG Party defeats Kulgara and her soldiers.
4716.09.02,Scrapwall,IG,"Hellion destroyed by Maginnis weapon 'Justice,' Tokala's divinity lost."
4716.09.16,Torch,IG,"Tokala, Maginnis are granted a home in Torch by the city council."
4716.09.19,Torch,IG,Gavrilo is killed by the IG Party.
4716.09.25,Iadenveigh,IG,"IG Party reaches Iadenveigh, finds the last battle of Casandalee."
4716.10.10,Choking Tower,IG,IG Party enters the Choking Tower.
4716.10.16,Choking Tower,IG,Eldrin is killed by the abyssal thief.
4716.10.17,Choking Tower,IG,IG Party meets & recruits Kroktah
4716.10.26,Kintargo,HV,"El Guapo captured and sentenced to death for piracy, murder, extortion, burglary, adultery, and sodomy."
4716.10.30,Kintargo,HR,"Jilia Bainilus, Lord Mayor of Kintargo goes missing."
4716.11.01,Kintargo,HV,Captain Freya Kusanagi is temporarily assigned to Barzillai Thrune for covert rebel suppression campaign.
4716.11.01,Scar of the Spider,IG,IG Party reaches the Scar of the Spider
4716.11.02,Kintargo,HR,Femmick Embersword & friends are hired to deal with a bandit menace on a rural road North of Kintargo.
4716.11.03,Kintargo,HV,"Night of Ashes. Captain Freya & her team depart Kintargo aboard The Western Star, bound for Remesianna."
4716.11.04,Kintargo,HR,Femmick investigates the burned ruins of the Silver Star & Fair Fortune Livery.
4716.11.10,Remesiana,HV,The Western Star arrives at Remesiana. Freya & company depart for Longacre. El Guapo stays and takes another ship.
4716.11.10,Kintargo,HR,Aria Park Protests end in violence.
4716.11.13,Longacre,HV,"Captain Freya and her team arrive in Longacre, enlisted by Archbaron Fex to investigate rebel activity."
4716.11.14,Kintargo,HR,Femmick & friends meet Laria Longroad and The Silver Ravens are reborn in the basement of her coffeeshop.
4716.11.17,Longacre,HV,The lancing of Riley Kels. His and other dissidents heads are displayed in the public square by the Church of Iomedae.
4716.11.17,Kintargo,HR,"""Red Jills"" gang members eliminated/absorbed by The Silver Ravens."
4716.11.18,Longacre,HV,Severed rebel heads are stolen at night. A bloody battle at the Church ensues. Riley Kels the ghast is killed again.
4716.11.19,Longacre,HV,Church of Iomedae converted to Temple of Asmodeus.
4716.11.20,Kintargo,HR,Silver Ravens capture and impersonate Lt. Yurimaru to sabotage investigations aimed at rebel groups.
4716.11.21,Longacre,HV,El Guapo arrives by mule in Longacre. He is destitute (again) and on the run from Naval authorities (again).
4716.11.23,Longacre,HV,"Rebel Stronghold at ""Court of Spears"" is destroyed. Lencia Visserene escapes. Former Sheriff Rhona Staelish is killed."
4716.11.24,Kintargo,HR,Femmick's vivid dream about the Night of Ashes.
4716.11.25,Scar of the Spider,IG,Migos driven to flee the Scar of the Spider
4716.11.26,Longacre,HV,Archbaron Fex of Longacre declares the rebellion has been driven out of his province. Gives Freya's team 3 weeks off.
4716.11.27,Kintargo,HR,Silver Ravens free a group of anti-Thrune dissidents being held at a salt granary.
4716.11.28,Kintargo,HR,Public Excrutiation of Clenchjaw is thwarted by the Silver Ravens. First Dottari Guard patrol attack & killings.
4716.11.28,Lepidstadt,CC,Riot at Black-Whale prison. All active members of City Police - Undead Specialist Squad (CP-USS) are lost.
4716.12.02,Lepidstadt,CC,"Genia Richton, Heir of the Richton family is killed in her home over her husband's gambling debts. Her husband Martos and daughter Farrah go missing."
4716.12.03,Lepidstadt,CC,Detective Hollace Marsh asks to be assigned the Richton family murder/disappearance case.
4716.12.04,Lepidstadt,CC,"Detective Marsh dies in ""The Succubus"" brothel. Witnesses report a skeleton with axes stood over him while he screamed. He had no apparent injuries."
4716.12.05,Lepidstadt,CC,35 people are murdered a secret sewer hideout. Martos Richton body found there. 30% of Lepidstadt thieves guild leadership eliminated.
4716.12.06,Lepidstadt,CC,"Kovira, Dismas, Dinvaya, and Gaspar are recruited to CP-USS. They are immediately assigned to the Richton case, which is now CP-USS jurisidtion."
4716.12.08,Kintargo,HR,Hocum's Museum assaulted by Silver Ravens. Nox escapes & Azvernathi Raul is banished from Kintargo.
4716.12.11,Egorian,HV,Captain Freya's team is attacked at their Inn in the capital. El Guapo fights off several assassins while naked.
4716.12.12,Kintargo,HR,Funeral for Porcia and Aneran Victocora.
4716.12.12,Scar of the Spider,IG,Dominion of the Black destroyed in Scar of the Spider. IG Party meets Casandalee.
4716.12.12,Lepidstadt,CC,Farrah Delilah Richton is apprehended & surrenders peacefully to Officer Kovira of CP-USS. She is placed in the Lepidstadt Foster Care system.
4716.12.13,Ravengro,CC,"Death of Professor Petros Lorrimor, near Harrowstone Prison, Ravengro. "
4716.12.15,Ravengro,CC,The Warden's Ghost is taken from Harrowstone Prison in Ravengro.
4716.12.16,Ravengro,CC,Kendra Lorrimor recruits Kovira & her CP-USS allies to investigate her father's death. CP-USS Teleports from Lepidstadt to Ravengro.
4716.12.17,Kantaria,HV,"Captain Freya's ""private security firm"" is hired by Loredana Viorica of the Uskwood Inn, Kantaria."
4716.12.17,Scrapwall,IG,"Battle for Scrapwall, Technic League (Krastus) is victorious"
4716.12.21,Kantaria,HV,"The Glorious Reclamation prison ""Hardship's Hearth"" is attacked. Zara Orcelani escapes to the Uskwood Inn."
4716.12.22,Kintargo,HR,"Varl Wex killed by Silver Ravens, his blade is sold to the Temple of Abadar to be destroyed."
4716.12.22,Ravengro,CC,CP-USS determines Professor Lorrimor's death to be murder by 'Phantasmal Killer' spell.
4716.12.23,Kantaria,HV,Kantaria docks burned. Dockmaster Jonas escaped. Defensive towers are also burned or sabotaged. Angel-Bro defeated.
4716.12.23,Kintargo,HR,"Femmick, Azwraith, and Boudicca captured at the Holding House. They are severely tortured by the Kyton Ghenemal"
4716.12.24,Kintargo,HR,"The Poison Pen of Kintargo, Marquel Aulorian is rescued by the Silver Ravens and boards the Scourge of Belial."
4716.12.24,Kantaria,HV,Freya & Co. lay low in the Fungus Caves. Corrine assigned to Captain Freya's team as liaison.
4716.12.25,Kintargo,HR,Poison Pen resumes distributing illegal poetry in Kintargo.  The Wasp Nest is abandoned by the Silver Ravens & Discovered by Dottari.
4716.12.25,Kantaria,HV,Captain Freya Kusanagi inducted into the Hell Knight Order and granted the rank of signifier.
4716.12.25,Shloss Caromarc,CC,"The Whispering Way visits Caromarc, traps him, takes control of The Beast of Lepidstadt"
