Date,Location,AP,Description
4716.12.28,Kintargo,HR,"Lore, Caleb, and Gabriel infiltrate the Holding House and free their friends, 4 hellknights of the torrent, and several civilians."
4716.12.29,Kintargo,HR,Order of the Torrent Hell Knights join the Silver Ravens
4716.12.29,Harrowstone,CC,"CP-USS eliminates the 5 ghosts haunting Harrowstone prison, freeing Vesorianna, the ghost of the warden's wife."
4716.12.31,Lepidstadt,CC,The Beast of Lepidstadt steals the Seasage Effigy from Lepidstadt University and is apprehended. City guards are injured but none die.
4717.01.01,Kantaria,HV,"Glorious Reclamation First Knight Oppian Nevilindor is captured by Freya & Co. Lencia Visserine, Angel Knight is killed."
4717.01.01,Lepidstadt,CC,Farrah Richton transferred to Lepidstadt Asylum after being rejected by 3 homes in the Foster Care System.
4717.01.02,Kantaria,HV,Linton Demeer appointed as the new Mayor of Kantaria by the ruling council.
4717.01.02,Torch,IG,IG Party returns to Torch to 'vacation'
4717.01.02,Ravengro,CC,CP-USS leaves Ravengro to deliver forbidden tomes to Lepidstadt.
4717.01.05,Kintargo,HR,The Lucky Bones is secretly cleared and claimed by the Silver Ravens.
4717.01.05,Torch,IG,"Maginnis leaves the party, and Numeria."
4717.01.06,Egorian,HV,Oppian Nevilindor arrives in the captal as the prisoner of Captain Freya Kusanagi.
4717.01.07,Tamrivena,CC,"CP-USS Clears out the ""gobbo-ghoul"" caves."
4717.01.12,Kintargo,HR,Day of Justice. Clenchjaws bar Burned.
4717.01.14,Egorian,HV,Signifier Freya Kusanagi promoted to Hellknight in the Order of the Rack.
4717.01.15,Egorian,HV,Public Execution of Oppian Nevilindor & assassination of Duke Fellatio. J'mal goes missing.
4717.01.15,Courtaud,CC,"Rodney ""Danger"" Smith is recruited to CP-USS."
4717.01.17,Kintargo,HR,Femmik escapes from Willowbrook Sanitarium along with several other patients. 
4717.01.18,Lepidstadt,CC,"Farrah Richton escapes Lepidstadt Asylum. Several guards are killed by ""a skeleton with axes."""
4717.01.18,Courtaud,CC,"The Devil in Gray, menace of Courtaud, is slain by CP-USS."
4717.01.19,Kintargo,HR,Silver Ravens depart aboard the Scourge of Belial for Acisazi & Vyre.
4717.01.19,Shudderwood,CC,"The Whispering Way reaches Ascanor Lodge and visits Estovion, compelling him to assist them with the werewolves."
4717.01.21,Lepidstadt,CC,Lepidstadt prison 'The Black Whale' is secured by CP-USS. Detective Kai Gin recruited to CP-USS.
4717.01.21,Lepidstadt,CC,Kendra Lorrimor begins investigating the Richton Family history.
4717.01.22,Egorian,HV,Freya & Co. depart the capital en route to Senara at the request of Archbaron Fex.
4717.01.22,Lepidstadt,CC,CP-USS begins investigating the charges against the Beast of Lepidstadt.
4717.01.23,Cheliax,HR,Silver Ravens encounter the North Sea Leviathan and rescue her young from Menotheguro's skum.
4717.01.24,Shudderwood,CC,Estovion arranges a meeting between Auren Vrood (WW) and Mathus Mordrinacht.
4717.01.25,Senara,HV,"Senara thieves guild ""Blood Daggers"" defeated by Draymus. Freya spares them and forms an alliance."
4717.01.25,Lepidstadt,CC,"Kendra voices her concerns over the Richton Family events to her father's old friend, Judge Embreth Darymid."
4717.01.29,Whisperwood,HV,"Blessing of Unicorns assaulted by Freya & Co. 3 Unicorns killed in initial assault, 4 more in later battles. 4 horns recovered."
4717.01.29,Lepidstadt,CC,"Farrah Richton seeks out the judge that remanded her to the Asylum, but instead meets Darymid. "
4717.01.30,Lepidstadt,CC,Vorgstag and Grime escape CP-USS at the Chymic Works. Costine is captured and spared for now.
4717.01.30,Lepidstadt,CC,Judge Darymid introduces Farrah Richton to Kendra Lorrimor. 
4717.01.31,Shudderwood,CC,Kvalca Sain is killed by the Whispering Way and Mathus Mordrinacht consumes a portion of her heart.
4717.01.31,Lepidstadt,CC,"4 day manhunt for Vorkstag & Grine by the mercenary group ""Savage Security"" funded by Kendra Lorrimor."
4717.02.01,Whisperwood,HV,Suriel banished to Abaddon where he meets Shensen.
4717.02.01,Lepidstadt,CC,"The Beast of Lepidstadt is found not-guilty of all murder charges, but is banished from Lepidstadt for vandalism. Kate Blackwood recruited to CP-USS."
4717.02.01,The Fever Sea,SS,Skull & Shackles AP begins. Party is pressed into service aboard the Wormwood.
4717.02.02,Acisazi,HR,Silver Ravens reach Acisazi and participate in its defense against the undead of Menotheguro.
4717.02.02,Shloss Caromarc,CC,CP-USS travels to Shloss Caromarc to investigate the origins of the Beast of Lepidstadt. Elfrip recruited to CP-USS.
4717.02.03,Lepidstadt,CC,Vorkstag kills Judge Aldaar before he and Grine are killed by Savage Security at Judge Darymid's home.
4717.02.04,Senara,HV,Balisse angel in the service of the Glorious Reclamation is killed and defiled (heart removed).
4717.02.04,Acisazi,HR,Silver Ravens destroy Menotheguro and depart for Vyre.
4717.02.04,Starfall,IG,IG Party journeys to Starfall in disguise.
4717.02.04,Lepidstadt,CC,Kendra Lorrimor becomes a Foster-Parent and formally adopts Farrah Richton as her ward.
4717.02.05,Lepidstadt,CC,Savage Security operatives inducted into Lepidstadt Police Investigative Unit as a new squad by Judge Darymid.
4717.02.06,Lepidstadt,CC,Judge Darymid re-opens her investigation into the Whispering Way with help from K.Lorrimor and Detective Richton.
4717.02.07,Whisperwood,HV,Fort Arego is assaulted by Freya & Co. Glorius Reclamation is defeated. Viona Kadarius is killed.
4717.02.07,Shloss Caromarc,CC,Kai is killed in a friendly-fire incident while battling an ancient evil tree.  The handle of the broken-blade is recovered.
4717.02.08,Starfall,IG,"Technic League Captain ""The Shade"" is killed during an illegal night auction in Starfall sewers."
4717.02.08,Lepidstadt,CC,Kai is taken to Lepidstadt and raised.
4717.02.09,Vyre,HR,"Bujon, Storm of Cheliax is defeated and captured by the Silver Ravens and then released into the custody of Vyre."
4717.02.10,Whisperwood,HV,Freya & Co. battle Archbaron Darellus Fex and are defeated until they strike a deal with Visperthul. Fex is killed.
4717.02.10,Vyre,HR,Silver Ravens reach Vyre and establish contact with Molly Mayapple. 
4717.02.12,Shloss Caromarc,CC,"The Promethean and the Beast are both destroyed atop Shloss Caromarc. Count Caromarc is rescued, but has lost his mind."
4717.02.13,Egorian,HV,"Freya is stripped of her rank & status as a Hell Knight. During her shame walk, Zara Orcelani defends her."
4717.02.13,Vyre,HR,Heist at Abadar Temple foiled by the Silver Ravens.
4717.02.14,Starfall,IG,"Technic League Captain ""Avernethy"" is killed."
4717.02.14,Lepidstadt,CC,Caromarc is transported to Lepidstadt where he is committed to the Ledpistadt Asylum.
4717.02.14,The Fever Sea,SS,Party begins planning a Mayonaisse (mutiny).
4717.02.15,Egorian,HV,The Dapper Street Murders. Wilfordshire Tailors is the scene of a brutal quadruple homicide with no suspects.
4717.02.15,Lepidstadt,CC,"CP-USS takes the Beast's brain via teleport to Torch, Numeria where it will be transplanted to Caromarc's Wood-Golem."
4717.02.16,Remesiana,HV,Florio Cento's chief competition (a slave market) is destroyed by Freya & Co.
4717.02.16,Vyre,HR,Silver Ravens secure alliance with Queen of Delights. Gabriel stays overnight.
4717.02.18,Hinji,HV,"Nathin Barksdale is offered promotion to Admiral at the shipyard, but he declines. The job falls to Rear Admiral LeBeau."
4717.02.18,Lepidstadt,CC,Darymid arranges for Farrah to interview Caromarc. She learns of his experience with the Whispering Way.
4717.02.20,Westcrown,HV,Brado Pachia hires Freya & Co. for a series of small favors.
4717.02.20,Torch,CC,CP-USS breaks a Technic-League siege on Torch by freeing their tribal elder hostages. Kate is killed and raised.
4717.02.21,Kintargo,HR,"Silver Ravens return to Kintargo, but immediately depart for Menador Gap to cut off reinforcements."
4717.02.21,Torch,CC,The Beast of Lepidstadt is reborn in her new body as Clarissa 'Rissa' Elssa Caromarc. Rissa helps repel the Technic League's last assault.
4717.02.22,Starfall,IG,"Technic League Captain ""Nalkii"" investigates Avernethy's disappearance and reports her findings."
4717.02.22,The Fever Sea,SS,Party assists in the taking of the Man's Promise and are made part of its prize crew.
4717.02.23,Egorian,HV,"Freya & Co. battle Efisio Pera, Chief Spy for Visperthul. Freya follows him out a 5th story window and defeats him in the street."
4717.02.24,Cheliax,HV,The top 4 agents of Visperthul in Cheliax are arrested/killed in a sting orchestrated by Corrine. Freya promoted to Major.
4717.02.25,The Fever Sea,SS,Man's promise runs aground during a storm off the Northeast coast of Bonewrack Isle. Several crew are kidnapped by grindylow.
4717.02.26,Menador,HR,Silver Ravens destroy Menador Keep and close the gap. Lucian Thrune is slain in single combat by Caleb.
4717.02.28,Egorian,HV,Freya & Co. invited to Night of the Pale Ball. Introduced to Count Sethic and Baroness Lesvion. 
4717.02.28,Torch,CC,CP-USS begins traveling back to Ustalav via Meyanda's 'truck.' 
4717.02.28,The Fever Sea,SS,Party rescues kidnapped crew and returns to Man's Promise. Party learns the Man's Promise officers are planning a Mustard (mutiny).
4717.02.30,Egorian,HV,Paracount Sethic's pig farm destroyed
4717.03.01,Egorian,HV,"The Gray Men attempt to assassinate the Lord Mayor's Son, Nicolo but they are foiled by Freya & Co."
4717.03.01,Scar of the Spider,CC,CP-USS overnights in the Scar of the Spider site of the old-gunslingers last-rest.
4717.03.02,Starfall,IG,"Technic League Captain ""Krastus""'s Rust-Risen facility assaulted. Krastus killed."
4717.03.02,Dravod Knock,CC,CP-USS encounters the Eastern border-guard of Dravod-Knock. They detour peacably.
4717.03.03,Kintargo,HR,"Hetamon Haace rescued by Silver Ravens. His mother, the succubus Natsiel, is killed."
4717.03.03,Shudderwood,CC,Meyanda drops off CP-USS at the Northeastern corner of Shudderwood.
4717.03.04,Lorzobun,CC,"CP-USS investigates the ancient dwarven city of Lorzobun, following the pull of the broken blade shard."
4717.03.04,The Fever Sea,SS,"Upon return, a fight breaks out and the Man's Promise officers are overpowered. The Party now controls the ship. "
4717.03.05,Kintargo,HR,Caleb scouts the Kintarogo Opera House.
4717.03.06,Fort Austra,CC,"CP-USS clears Fort Austra of all undead, including a lesser vampire Tech-Witch. The circlet is recovered but not identified."
4717.03.07,Kintargo,HR,Ruby Massacre. Shensen and Jilia Bainilus are rescued by the Silver Ravens. Nox 2.0 is destroyed.
4717.03.07,Starfall,IG,Technic League Captain Ghartone killed.
4717.03.07,Rickety Squibs,SS,"The Man's Promise Sails into Rickety Squibs and is never seen again. She is renamed ""The Pillager's Knife"" or TPK for short."
4717.03.08,Egorian,HV,Night of the Pale Ball. Vokadus Fex attacks Freya but is defeated and killed. Party meets Abrogail 2. Mysterio's magic show.
4717.03.08,Demon Skull,CC,"CP-USS destroys the Medusa colony at Demon Skull, another broken blade shard is recovered."
4717.03.09,Kintargo,HR,"The Battle of Kintargo. Song of Silver activated by Shensen. Lothario, Azwraith, Octavio, Rexus, and Boudicca are chosen."
4717.03.09,Kintargo,HR,Gabriel killed by an arrow fired by the Dottari Chief. 
4717.03.09,Starfall,IG,"Technic League Compound assaulted, Ozmyn and his inner-circle are killed. Kroktah killed."
4717.03.09,Rickety Squibs,SS,"Shipwreck survivors of ""HIMS Surprise"" aka ""The Rizzen"" agree to join TPK crew. "
4717.03.10,Kintargo,HR,"Gabriel resurrected by Manticce, of Vyre."
4717.03.10,Rickety Squibs,SS,An ancient dwarven stronghold is found Southwest of Rickety Squibs and the soul of Brogan inhabits Storgrim's axe.
4717.03.11,Kintargo,HR,"Barzillai Thrune, atop Rivozair, destroys the Devil's Nursery Orphanage. Clenchjaw dies but saves 65 children from the fire."
4717.03.11,Belde,HV,"Freya & Co Liberate Belde from the Glorious Reclamation. Freya wins trivia contest vs Yunero, an Ogre Mage"
4717.03.11,Starfall,IG,Party infiltrates Palace of Fallen Stars. Learns of Black Sovereign's addiction to numerian fluids.
4717.03.11,Rickety Squibs,SS,A pack of Squables monkeys attack TPK Crew. Bilge and Lil-Vaughan are 'recruited.'
4717.03.12,Macini,HV,"El Guapo, diguised as Titus Vel, is arrested for public drunkenness."
4717.03.12,Numeria,IG,"Party embarks to hunt the Juvi-Tarrasque, a creature they need to make a powerful cure for the Black Sovereign."
4717.03.13,Corentyn,HV,"Freya & Co conscript themselves as ship guards for the Ballerina, cargo ship bound for Pezzack."
4717.03.14,Kintargo,HR,Barzillai Thrune and Rivozair defeated.
4717.03.14,Starfall,IG,The Black Sovereign eats a healburger and is cured of his addiction to Numerian Fluids. Unity attacks the Palace of Fallen Stars.
4717.03.14,Lepidstadt,CC,"CP-USS Returns to Lepidstadt, surrenders their City Commission, and are deputized as Deputy Ustalav Marshalls directed to hunt the Whispering Way."
4717.03.15,Rachikan,HV,Pirate operation at Rachikan Ruins dismantled. Draymus is left there with 40 corpses.
4717.03.16,Egorian,HV,Bob Applewood kidnapped by Paracount Sethic.
4717.03.17,Lepidstadt,CC,CP-USS Departs Lepidstadt via the South road. They execute a gang of bandits on the road and then turn East to Shudderwood.
4717.03.18,Pezzack,HV,A blue dragon attacks Governor's Manse and it burns. All prisoners freed. Strix raids that night.
4717.03.20,Egorian,HV,Party Barge setup by Draymus & Co. Attacked by Bellflower Network. Draymus & Co retreat.
4717.03.20,Shudderwood,CC,Thundering Tyrant seen in West Shudderwood near the standing stones.
4717.03.21,Kintargo,HR,Rouvanel declares its independence from Cheliax. Bleakbridge renamed to Silver Span.
4717.03.21,Kintargo,HR,Body of Wario Donager discovered in the Vespam Artisans courtyard by Silver Ravens. Aula Crispin corpse found at morgue.
4717.03.22,Egorian,HV,Assault on Bellflower Barn by Jason & Co. Building leveled. Most Bellflower agents escaped.
4717.03.22,Ascanor Lodge,CC,CP-USS Arrives at Ascanor Lodge.
4717.03.24,Egorian,HV,"Paracount Sethic's mansion attacked. Sethic captured, Bob discovered and freed but his mind is destroyed."
4717.03.25,Ascanor Lodge,CC,CP-USS Departs Ascanor Lodge for the Stairs of the Moon
4717.03.26,Vyre,HV,El Guapo procures a Wish from Manticce and uses it to heal Bob
4717.03.27,Stairs of the Moon,CC,CP-USS joins the Broken-Ones in a fight vs the Silverhides and forces the latter to retreat.
4717.03.30,Stairs of the Moon,CC,"After fighting the Vilkacis, Gaspar writes a warrant for Estovion's arrest and sends it to Lepidstadt via Rissa."
4717.03.30,Rickety Squibs,SS,"The Pillager's Knife (TPK) emerges from Rickety Squibs, a new Brig in the South Shackles."
4717.04.01,Barrowood,HV,Battle of Barrowood. Western flank of Glorious Reclamation forces decimated.
4717.04.01,Stairs of the Moon,CC,"Kate eats the heart of Tibor, momentarily becoming Vollensag. Mathus is blown apart by Gaspar's grenade launcher, ending the Shudderwood Civil War."
4717.04.02,Westcrown,HV,Glorious Reclamation takes and holds Westcrown.
4717.04.02,Barrowood,HV,"Reaffirmation of the Covenant of Hell. Freya, Jason, Jamal, Draymus, Reese elevated to Bound Agent. Sethic Sacrificed."
4717.04.02,Firegrass Island,SS,"The TPK participates in the defense of Goatshead Port, Firegrass Island, as they sink or take 2 Bronze Fleet Slave Galleons."
4717.04.03,Menador,HR,Meeting of the Twins
4717.04.03,Menador,HV,Meeting of the Twins
4717.04.03,Lepidstadt,CC,Daramid issues a warrant for the arrest of Estovion Lazarov of Ascanor Lodge. L-PIU is sent to execute the warrant.
4717.04.03,Lepidstadt,CC,L-PIU departs Lepidstadt to execute the warrant at Ascanor Lodge.
4717.04.04,Egorian,HV,"Freya is commanded to assemble the ingredients to build a Tathlum, a weapon of mass destruction."
4717.04.04,Shudderwood,CC,"CP-USS arrives in Chastel, meets Arnaud, and prepares to enter Ardeal."
4717.04.05,Shudderwood,CC,L-PIU investigates the lost temple of Calistria (Temple of Salt)
4717.04.06,Ardeal,CC,Willowmere is cleared by CP-USS.
4717.04.06,Shudderwood,CC,Meyanda visits Chastel for the first time and meets Taylor and Arnaud Blackwood.
4717.04.06,Shudderwood,CC,L-PIU confronts Estovion on the Ascanor Dance Floor. Vilkacis possesses Farrah. Mindscape Battle.
4717.04.06,Shudderwood,CC,Farrah draws a helmet for a troop of Iomedaean Paladins and tells them the helmet is at Northgarde. They believe her and depart immediately.
4717.04.07,Ardeal,CC,Brook-Nook is cleared by CP-USS.
4717.04.07,Ardeal,CC,Meyanda catches up with CP-USS and spends the day crafting items for them with Dinvaya.
4717.04.08,Nidal,HV,"Freya travels to Nidal to hunt Cave Giants, cyclops, trolls, and scout a sacred fountain location."
4717.04.08,Ardeal,CC,"CP-USS visits Dea Pharasma Nua, receives blessing of Pharasma for 5 days, along with a vision of the peril of Northgarde."
4717.04.09,Shudderwood,CC,"Meyanda returns to Chastel, picks up Taylor Blackwood, and they begin traveling together."
4717.04.09,Windward Isle,SS,The TPK investigates a found treasure map that leads them to Windward Isle and a secret library.
4717.04.10,Isger,HV,Freya travels to Isger to the pass of Dark Rain and Draymus speaks with the Wight Mother who enlists their aid.
4717.04.10,Shudderwood,CC,"Funeral for Estovion Lozarov. Farrah gives the Vilkacis to Cybrisa of the Broken Ones. L-PIU & the Brians are named ""Friends of the Clans"" by Cybrisa."
4717.04.10,Ardeal,CC,CP-USS enters Northgarde.
4717.04.10,Windward Isle,SS,The TPK is attacked by Sahuagin and fights them off but Sha Feng is taken by them.
4717.04.11,Gol Khazak,SS,TPK Command Crew follows the Sahuagin to an underwater cave which is the lost dwarven settlement of Gol Khazak. An alliance is forged with the Sahuagin.
4717.04.12,Isger,HV,"Freya, sent to slay the Frost Giants instead defeats them in a drinking game and betrays the Wight Mother."
4717.04.12,Ardeal,CC,"Dame Sirona dies in Northgarde. She ascends to become a Deva of Saranrae, heals Elfrip's cursed hands, and promises to return at need."
4717.04.12,The Dreaming Deep,SS,Bujon is slain in combat vs the undead dwarves of Gol Khazak. The Sahuagin reincarnate him as an Iku-Turso (Eel man). Sha Feng is freed.
4717.04.13,Molthune,HV,Jamal distracts an ancient Remorhaz and the team rescues a Noble Vampire from Nidal trapped in her coffin.
4717.04.13,Ardeal,CC,Dea-Pharasma-Nua buff expires for CP-USS.
4717.04.14,Nidal,HV,"Draymus, the vampire Violetta Pavel, and Corrine travel to Nidal to secure an operation for Draymus to remove his brain."
4717.04.14,Isger,HV,"Hell's Bubbies begin to scout Citadel Dinyar, Hellknight Fortress and birthplace of the rebellion."
4717.04.15,Ardeal,CC,"CP-USS visits the Penitent Hearth Inn, meets Vex, Sylvia, and Gabriel. "
4717.04.16,Ardeal,CC,CP-USS visits the temple of Apsu in Southeastern Ardeal. 
4717.04.17,Ardeal,CC,Indas Menador destroyed. 
4717.04.18,Feldgrau,CC,CP-USS arrives at feldgrau and is detected by the WW's outer guard of ravens. Stormgiant Graveknight destroyed.
4717.04.19,Feldgrau,CC,CP-USS enters the town and battles several dozen WW creations meant for harvesting & processing undead. Unnamed Tomb signs found.
4717.04.20,Feldgrau,CC,CP-USS enters the Unnamed Tomb and builds a DC40 secret door over the entrance in the granary.
4717.04.22,Feldgrau,CC,"Whispering Way ambushes CP-USS on the streets of Feldgrau. Elfrip is killed, but Sirona returns to save him. Auren Vrood killed & arrested."
4717.04.25,Carrion Hill,CC,CP-USS arrives in Carrion Hill and is attacked in the evening by strange aberrations bursting out of the townsfolks. Wendigo defeated.
4717.04.26,Carrion Hill,CC,CP-USS Battle of the Brewery. Elfrip killed but raised. Keeper Hyve killed and Chaos-Beast insider her revealed.
4717.04.27,Carrion Hill,CC,"Keeper Grove confronted in the Jail underneath Crow-Barracks and he is killed, another Chaos-Beast revealed. Gaolers spared."
4717.05.01,Egorian,HV,"PLAN: The head of parnoneryx taken to Queen Abrogail who completes the ritual, creating the Tathlum."